client,total_images,total_alt_tags,alt_length,occurrences,pct_all_occurrences
desktop,209139752,171600191,-1,37539561,0.17949510143820005
mobile,275489967,225936151,-1,49553816,0.17987521120868985
desktop,209139752,171600191,0,56536673,0.27032963585038583
mobile,275489967,225936151,0,76837255,0.27891126430749474
desktop,209139752,171600191,1,883716,0.004225480768476765
mobile,275489967,225936151,1,1228950,0.004460961004797681
desktop,209139752,171600191,2,1926147,0.009209856000976801
mobile,275489967,225936151,2,2715875,0.009858344496444038
desktop,209139752,171600191,3,2177801,0.010413137527293233
mobile,275489967,225936151,3,2664583,0.009672159857640115
desktop,209139752,171600191,4,4218427,0.020170373922983327
mobile,275489967,225936151,4,5004456,0.018165656101733825
desktop,209139752,171600191,5,3952803,0.01890029495683824
mobile,275489967,225936151,5,5069648,0.018402296298507308
desktop,209139752,171600191,6,3948864,0.018881460660812106
mobile,275489967,225936151,6,4912860,0.017833172124195724
desktop,209139752,171600191,7,4642422,0.022197702519987688
mobile,275489967,225936151,7,5669346,0.020579137823919375
desktop,209139752,171600191,8,4208538,0.02012308975101013
mobile,275489967,225936151,8,5381339,0.019533702292686396
desktop,209139752,171600191,9,3877960,0.018542433769358203
mobile,275489967,225936151,9,4894552,0.01776671598352618
desktop,209139752,171600191,10,3652706,0.017465383625395136
mobile,275489967,225936151,10,4619850,0.016769576221989966
desktop,209139752,171600191,11,3711537,0.017746683566881156
mobile,275489967,225936151,11,4606656,0.016721683370777708
desktop,209139752,171600191,12,3461673,0.01655196091080762
mobile,275489967,225936151,12,4485475,0.016281808912482102
desktop,209139752,171600191,13,3389856,0.016208568517380666
mobile,275489967,225936151,13,4407526,0.015998862129160588
desktop,209139752,171600191,14,3352285,0.016028923090623155
mobile,275489967,225936151,14,4372885,0.015873118892928684
desktop,209139752,171600191,15,3055250,0.014608652686936341
mobile,275489967,225936151,15,3940388,0.014303199651550287
desktop,209139752,171600191,16,3049817,0.01458267484222703
mobile,275489967,225936151,16,4036872,0.014653426561991638
desktop,209139752,171600191,17,2727036,0.01303930015179515
mobile,275489967,225936151,17,3550267,0.012887100893950159
desktop,209139752,171600191,18,2486841,0.011890809739508536
mobile,275489967,225936151,18,3285814,0.011927163939149915
desktop,209139752,171600191,19,2435353,0.011644620291985429
mobile,275489967,225936151,19,3214441,0.011668087353613136
desktop,209139752,171600191,20,2288461,0.01094225740499109
mobile,275489967,225936151,20,3009456,0.010924013069412434
desktop,209139752,171600191,21,2121072,0.010141888281477928
mobile,275489967,225936151,21,2765437,0.010038249414723695
desktop,209139752,171600191,22,2050055,0.00980232108145562
mobile,275489967,225936151,22,2687962,0.009757023202227905
desktop,209139752,171600191,23,1924025,0.009199709675470975
mobile,275489967,225936151,23,2542139,0.009227700840372164
desktop,209139752,171600191,24,1874648,0.008963613957044378
mobile,275489967,225936151,24,2504456,0.009090915459727069
desktop,209139752,171600191,25,1857295,0.00888064073060582
mobile,275489967,225936151,25,2448348,0.008887249240550383
desktop,209139752,171600191,26,1697654,0.008117318605216669
mobile,275489967,225936151,26,2241386,0.008135998651449983
desktop,209139752,171600191,27,1611401,0.00770490059680285
mobile,275489967,225936151,27,2133603,0.007744757543203016
desktop,209139752,171600191,28,1546791,0.007395968414460012
mobile,275489967,225936151,28,2039229,0.007402189713863518
desktop,209139752,171600191,29,1464652,0.0070032214631295915
mobile,275489967,225936151,29,1946215,0.007064558543433272
desktop,209139752,171600191,30,1446969,0.0069186703444116164
mobile,275489967,225936151,30,1908210,0.006926604336193485
desktop,209139752,171600191,31,1361209,0.006508609611433411
mobile,275489967,225936151,31,1792236,0.006505630747707048
desktop,209139752,171600191,32,1299710,0.006214552649942895
mobile,275489967,225936151,32,1705303,0.0061900729764144185
desktop,209139752,171600191,33,1220350,0.00583509346420187
mobile,275489967,225936151,33,1598548,0.005802563401519446
desktop,209139752,171600191,34,1167850,0.0055840651470218826
mobile,275489967,225936151,34,1528782,0.005549320059267349
desktop,209139752,171600191,35,1126643,0.0053870342162402485
mobile,275489967,225936151,35,1479280,0.005369632934763101
