client,total_sites,attribute,total_sites_using,pct_sites_using
mobile,7940685,href,7861867,0.9900741560709183
desktop,5430532,href,5373750,0.9895439341854536
mobile,7940685,src,7854769,0.9891802785276081
desktop,5430532,src,5366846,0.9882726038627523
mobile,7940685,content,7843683,0.9877841773096402
mobile,7940685,name,7826899,0.9856705057561155
desktop,5430532,content,5345148,0.984277046889697
mobile,7940685,type,7809747,0.9835104905936957
mobile,7940685,class,7807578,0.9832373403553976
desktop,5430532,type,5336591,0.9827013264998715
desktop,5430532,name,5335136,0.9824333969489546
mobile,7940685,rel,7795331,0.9816950300887141
desktop,5430532,class,5329742,0.9814401240983388
desktop,5430532,rel,5322071,0.9800275553113397
mobile,7940685,id,7749394,0.9759100128011626
desktop,5430532,id,5294235,0.9749017223358596
mobile,7940685,style,7637977,0.961878855539541
desktop,5430532,style,5206125,0.9586767926236325
desktop,5430532,alt,4961366,0.9136058861268104
mobile,7940685,alt,7242332,0.9120538089598064
mobile,7940685,title,6764424,0.8518690767861966
desktop,5430532,title,4602926,0.8476013031504096
desktop,5430532,target,4582496,0.8438392407962977
mobile,7940685,lang,6680217,0.8412645760409839
mobile,7940685,target,6656370,0.8382614346243429
desktop,5430532,lang,4504725,0.8295181761197614
desktop,5430532,async,4504512,0.8294789534432354
mobile,7940685,width,6430380,0.8098016732813353
mobile,7940685,async,6420390,0.8085435954202943
desktop,5430532,width,4382911,0.8070868563153665
desktop,5430532,charset,4382660,0.807040636166033
mobile,7940685,charset,6386304,0.8042510186463763
mobile,7940685,height,6248269,0.7868677576304814
desktop,5430532,height,4265237,0.7854178927589415
desktop,5430532,role,3917748,0.7214298709592357
mobile,7940685,role,5672222,0.7143240161270722
desktop,5430532,value,3790014,0.6979084185490483
desktop,5430532,http-equiv,3738055,0.6883404793489846
mobile,7940685,http-equiv,5283088,0.6653189239971111
mobile,7940685,value,5218750,0.6572166003310798
desktop,5430532,action,3414113,0.6286884968176231
desktop,5430532,tabindex,3355329,0.6178637746725367
mobile,7940685,media,4901150,0.6172200509150029
mobile,7940685,property,4888939,0.6156822742622331
desktop,5430532,method,3316753,0.610760234908845
desktop,5430532,media,3315642,0.6105556509012376
desktop,5430532,property,3287238,0.6053252241216882
mobile,7940685,tabindex,4731949,0.5959119395870759
desktop,5430532,placeholder,3187046,0.5868754663447339
desktop,5430532,aria-label,3172546,0.584205378036627
mobile,7940685,action,4621457,0.5819972710162914
desktop,5430532,aria-hidden,3137160,0.5776892577007188
mobile,7940685,aria-hidden,4528457,0.5702854350726669
mobile,7940685,aria-label,4528263,0.5702610039310211
mobile,7940685,method,4507489,0.567644856835399
mobile,7940685,placeholder,4412606,0.555695887697346
mobile,7940685,defer,3972430,0.5002628866401324
desktop,5430532,defer,2693456,0.49598381889656484
desktop,5430532,xmlns,2636614,0.4855167044407436
desktop,5430532,crossorigin,2561750,0.4717309464339774
mobile,7940685,sizes,3744335,0.47153803481689555
mobile,7940685,xmlns,3740012,0.47099362334609673
desktop,5430532,sizes,2515609,0.4632343571495389
mobile,7940685,crossorigin,3597454,0.4530407641154384
desktop,5430532,viewBox,2366907,0.43585177290180777
mobile,7940685,viewBox,3420727,0.4307848756121166
desktop,5430532,frameborder,2289885,0.4216686320971868
mobile,7940685,frameborder,3281330,0.4132300928698217
desktop,5430532,d,2046713,0.37688996216208653
desktop,5430532,for,2031999,0.37418046703343244
mobile,7940685,d,2961494,0.3729519556562186
mobile,7940685,for,2725736,0.34326207373797096
mobile,7940685,srcset,2697855,0.33975091569556026
desktop,5430532,scrolling,1818477,0.33486166732835754
desktop,5430532,srcset,1793370,0.33023836338686524
mobile,7940685,scrolling,2574500,0.32421636168668067
desktop,5430532,autocomplete,1671981,0.3078853047915011
desktop,5430532,onclick,1665564,0.3067036526071479
desktop,5430532,fill,1583704,0.29162962302772544
desktop,5430532,as,1563673,0.2879410341380918
mobile,7940685,onclick,2270084,0.2858801224327624
desktop,5430532,aria-expanded,1549862,0.2853978210606254
mobile,7940685,fill,2266105,0.28537903216158306
mobile,7940685,as,2252333,0.283644672972168
mobile,7940685,aria-expanded,2209438,0.278242746060321
mobile,7940685,autocomplete,2163190,0.27241856338590437
mobile,7940685,loading,2056050,0.25892602464396963
desktop,5430532,loading,1370814,0.2524272023440797
desktop,5430532,aria-labelledby,1319216,0.24292573913568688
desktop,5430532,aria-controls,1298404,0.23909333376545797
desktop,5430532,dir,1293253,0.23814480791200568
mobile,7940685,dir,1873456,0.23593128300644087
desktop,5430532,aria-live,1266812,0.23327585584616756
desktop,5430532,data-toggle,1246891,0.22960752279887128
mobile,7940685,aria-controls,1809829,0.22791849821520435
mobile,7940685,aria-labelledby,1796770,0.2262739297680238
mobile,7940685,data-toggle,1773519,0.22334584484839784
mobile,7940685,aria-live,1770045,0.22290835110572954
desktop,5430532,allowtransparency,1197549,0.2205214885024156
mobile,7940685,itemprop,1730943,0.21798409079317466
mobile,7940685,allowtransparency,1700100,0.2140999170726455
desktop,5430532,integrity,1113585,0.2050600199022858
desktop,5430532,aria-haspopup,1112438,0.2048488067099135
desktop,5430532,allowfullscreen,1110373,0.20446854930603484
mobile,7940685,data-src,1621292,0.20417533248076206
mobile,7940685,itemtype,1616830,0.2036134162229077
mobile,7940685,itemscope,1616200,0.20353407797941866
mobile,7940685,allowfullscreen,1609038,0.20263214067803975
desktop,5430532,itemprop,1084278,0.1996633110715488
desktop,5430532,data-target,1082761,0.19938396459131444
desktop,5430532,data-src,1069718,0.19698217412216704
mobile,7940685,data-target,1556084,0.1959634464784839
mobile,7940685,aria-current,1544336,0.1944839771379925
mobile,7940685,aria-haspopup,1531567,0.19287592946956086
mobile,7940685,data-id,1496416,0.1884492332840303
desktop,5430532,itemscope,1007133,0.1854575205523142
desktop,5430532,itemtype,1006733,0.1853838629438147
mobile,7940685,integrity,1432496,0.18039954991288534
desktop,5430532,sandbox,976396,0.17979748577119148
desktop,5430532,data-id,972980,0.17916844979460575
desktop,5430532,aria-current,966731,0.17801773380582234
desktop,5430532,required,907738,0.167154525560295
mobile,7940685,sandbox,1324401,0.16678674446851877
mobile,7940685,required,1283584,0.16164650782646586
desktop,5430532,focusable,868808,0.1599857988130813
desktop,5430532,border,856972,0.15780627017758111
desktop,5430532,aria-describedby,847467,0.1560559812556118
mobile,7940685,onload,1231571,0.15509631725726433
desktop,5430532,size,837784,0.15427291469786017
mobile,7940685,focusable,1221758,0.1538605296646322
