client,date,percentile,score
mobile,2019_07_01,10,0.41
mobile,2019_07_01,25,0.58
mobile,2019_07_01,50,0.73
mobile,2019_07_01,75,0.85
mobile,2019_07_01,90,0.93
mobile,2020_08_01,10,0.55
mobile,2020_08_01,25,0.68
mobile,2020_08_01,50,0.8
mobile,2020_08_01,75,0.88
mobile,2020_08_01,90,0.94
mobile,2021_07_01,10,0.61
mobile,2021_07_01,25,0.72
mobile,2021_07_01,50,0.82
mobile,2021_07_01,75,0.9
mobile,2021_07_01,90,0.95
desktop,2022_06_01,10,0.63
mobile,2022_06_01,10,0.62
desktop,2022_06_01,25,0.73
mobile,2022_06_01,25,0.73
desktop,2022_06_01,50,0.83
mobile,2022_06_01,50,0.83
desktop,2022_06_01,75,0.91
mobile,2022_06_01,75,0.9
desktop,2022_06_01,90,0.96
mobile,2022_06_01,90,0.96
