client,rank_grouping,total_in_rank,app,sites_with_app,pct_sites_with_app
desktop,1000,771,AccessiBe,1,0.0012970168612191958
desktop,10000,8077,AccessiBe,12,0.0014857001361891792
mobile,10000,9408,AccessiBe,11,0.00116921768707483
desktop,100000,87148,AccessiBe,422,0.004842337173543857
mobile,100000,91596,AccessiBe,360,0.0039303026333027645
desktop,1000000,904524,AccessiBe,4335,0.004792575984716823
mobile,1000000,950778,AccessiBe,3889,0.004090334441899161
desktop,10000000,5431533,AccessiBe,20324,0.0037418533588951773
mobile,10000000,7909918,AccessiBe,19771,0.0024995202225863784
desktop,100000,87148,Accessibility Toolbar Plugin,1,1.1474732638729517E-5
mobile,100000,91596,Accessibility Toolbar Plugin,1,1.09175073147299E-5
desktop,1000000,904524,Accessibility Toolbar Plugin,51,5.638324687902145E-5
mobile,1000000,950778,Accessibility Toolbar Plugin,48,5.048497125511949E-5
desktop,10000000,5431533,Accessibility Toolbar Plugin,242,4.4554640467065193E-5
mobile,10000000,7909918,Accessibility Toolbar Plugin,323,4.08348101712306E-5
desktop,100000,87148,Accessible360,19,2.1801992013586083E-4
mobile,100000,91596,Accessible360,18,1.965151316651382E-4
desktop,1000000,904524,Accessible360,115,1.2713869394289151E-4
mobile,1000000,950778,Accessible360,111,1.1674649602746382E-4
desktop,10000000,5431533,Accessible360,361,6.646374053144849E-5
mobile,10000000,7909918,Accessible360,338,4.273116358475524E-5
desktop,100000,87148,AdaSiteCompliance,2,2.2949465277459034E-5
mobile,100000,91596,AdaSiteCompliance,2,2.18350146294598E-5
desktop,1000000,904524,AdaSiteCompliance,29,3.206106195081612E-5
mobile,1000000,950778,AdaSiteCompliance,28,2.944956656548637E-5
desktop,10000000,5431533,AdaSiteCompliance,184,3.3876255561735516E-5
mobile,10000000,7909918,AdaSiteCompliance,166,2.098631110967269E-5
desktop,100000,87148,Adally,1,1.1474732638729517E-5
desktop,1000000,904524,Adally,9,9.949984743356727E-6
mobile,1000000,950778,Adally,8,8.414161875853248E-6
desktop,10000000,5431533,Adally,99,1.8226898372890305E-5
mobile,10000000,7909918,Adally,128,1.6182215795410267E-5
desktop,10000,8077,Allyable,1,1.238083446824316E-4
mobile,10000,9408,Allyable,1,1.0629251700680272E-4
desktop,100000,87148,Allyable,4,4.589893055491807E-5
mobile,100000,91596,Allyable,3,3.2752521944189706E-5
desktop,1000000,904524,Allyable,49,5.4172139158275515E-5
mobile,1000000,950778,Allyable,47,4.943320102063784E-5
desktop,10000000,5431533,Allyable,128,2.3566090825555143E-5
mobile,10000000,7909918,Allyable,125,1.580294511270534E-5
desktop,1000,771,AudioEye,1,0.0012970168612191958
mobile,1000,929,AudioEye,1,0.001076426264800861
desktop,10000,8077,AudioEye,22,0.002723783583013495
mobile,10000,9408,AudioEye,18,0.001913265306122449
desktop,100000,87148,AudioEye,138,0.0015835131041446735
mobile,100000,91596,AudioEye,128,0.0013974409362854272
desktop,1000000,904524,AudioEye,1905,0.002106080104010507
mobile,1000000,950778,AudioEye,1914,0.0020130882287978896
desktop,10000000,5431533,AudioEye,18798,0.0034609013698342623
mobile,10000000,7909918,AudioEye,20417,0.0025811898429288394
desktop,10000,8077,Enable,1,1.238083446824316E-4
mobile,10000,9408,Enable,2,2.1258503401360543E-4
desktop,100000,87148,Enable,15,1.7212098958094277E-4
mobile,100000,91596,Enable,14,1.528451024062186E-4
desktop,1000000,904524,Enable,299,3.3056060425151794E-4
mobile,1000000,950778,Enable,299,3.144793001100152E-4
desktop,10000000,5431533,Enable,2093,3.853424070147415E-4
mobile,10000000,7909918,Enable,2907,3.675132915410754E-4
desktop,10000,8077,EqualWeb,2,2.476166893648632E-4
mobile,10000,9408,EqualWeb,2,2.1258503401360543E-4
desktop,100000,87148,EqualWeb,57,6.540597604075825E-4
mobile,100000,91596,EqualWeb,55,6.004629023101445E-4
desktop,1000000,904524,EqualWeb,482,5.328769606997714E-4
mobile,1000000,950778,EqualWeb,477,5.0169440184775E-4
desktop,10000000,5431533,EqualWeb,1780,3.277159505428762E-4
mobile,10000000,7909918,EqualWeb,1910,2.414690013221376E-4
