client,sites_with_non_empty_alt,sites_with_file_extension_alt,total_alts_with_file_extensions,pct_sites_with_file_extension_alt,pct_alts_with_file_extension,extension,total_sites_using,pct_applicable_sites_using,total_occurances,pct_total_occurances
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jpg,178517,0.0389107933493074,1358078,0.5289415272757297
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,png,157473,0.034323898346350676,876140,0.34123727039784013
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,ico,61809,0.013472314827872646,126793,0.04938308629391803
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jpeg,23128,0.0050411379789195515,81884,0.031892017998558155
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,svg,10075,0.0021960163065381563,51394,0.020016833239923523
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,gif,14569,0.0031755594610376574,47060,0.01832883551135932
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,webp,2729,5.948316129570847E-4,11847,0.004614146075288437
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,tif,4692,0.0010227005965535512,8891,0.0034628490550679073
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,heic,593,1.292543592830895E-4,1035,4.0310974828425196E-4
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jfif,553,1.2053568412065513E-4,985,3.8363584740095475E-4
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,cur,531,1.1574041278131622E-4,764,2.9756120549678116E-4
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,bmp,272,5.92869911045537E-5,568,2.2122351403425615E-4
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,tiff,292,6.364632868577088E-5,549,2.1382343169860322E-4
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jpe,283,6.168462677422315E-5,494,1.924021407269763E-4
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,dib,263,5.7325289193005966E-5,484,1.8850736055031687E-4
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jp2,39,8.500708283373509E-6,101,3.9337279784260335E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jpf,21,4.577304460278043E-6,83,3.232667546627334E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,apng,39,8.500708283373509E-6,65,2.5316071148286355E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,pjp,36,7.84680764619093E-6,63,2.4537115112954466E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jpm,26,5.667138855582339E-6,63,2.4537115112954466E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,mj2,6,1.307801274365155E-6,39,1.5189642688971813E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jif,28,6.103072613704057E-6,38,1.480016467130587E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,j2k,4,8.718675162434367E-7,31,1.2073818547644262E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jfi,18,3.923403823095465E-6,30,1.1684340529978317E-5
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,jpx,15,3.269503185912888E-6,25,9.736950441648598E-6
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,pjpeg,3,6.539006371825775E-7,23,8.95799440631671E-6
desktop,4587853,329391,2567539,0.07179632826073547,0.022333935727188687,heif,11,2.397635669669451E-6,12,4.673736211991327E-6
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jpg,278879,0.04190003392520649,1913434,0.5279444992135053
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,png,245381,0.036867143903273794,1245912,0.34376539086485175
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,ico,86717,0.013028751687621265,173192,0.04778621248905653
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,jpeg,39312,0.005906411503439547,136238,0.03759006199526586
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,gif,19304,0.0029003196902319143,58255,0.016073408751847592
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,svg,11768,0.0017680771920145653,56957,0.015715271517963838
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,webp,4701,7.06299360950074E-4,18122,0.005000125541172124
mobile,6655818,496630,3624309,0.07461592249066906,0.02427862263843202,tif,6676,0.0010030322343549658,12175,0.0033592610343102644
